The following data is valid as of 20250930164520 (year/month/day/hour/minute/second)


Card,Transaction type,Posting date,Transaction amount,Description


'6138860916353455',CREDIT,20250901,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251844567891234
'6138860916353455',DEBIT,20250901,-1200.00,[CW]INTERAC PAYMENT         HOUSING                  202518442345678TJ
'6138860916353455',DEBIT,20250902,-115.75,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250903,-38.25,[DS]RESTAURANT HIJ   DINING
'6138860916353455',DEBIT,20250903,-89.99,[DS]MOBILE PROVIDER MOBILE SERVICE
'6138860916353455',DEBIT,20250904,-42.15,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250905,-78.35,[DS]CLOTHING STORE   APPAREL
'6138860916353455',DEBIT,20250906,-74.25,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250907,-22.50,[CW]NETFLIX          SUBSCRIPTION
'6138860916353455',DEBIT,20250907,-18.99,[DS]MUSIC SUBSCRIPTION ENTERTAINMENT
'6138860916353455',CREDIT,20250908,145.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251847891234567
'6138860916353455',DEBIT,20250909,-92.45,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250910,-52.35,[DS]RESTAURANT KLM   DINING
'6138860916353455',DEBIT,20250911,-130.00,[CW]INTERAC PAYMENT         TRANSPORTATION SERVICES 202518502345TS6TH
'6138860916353455',DEBIT,20250912,-32.75,[DS]MORNING CAFE     DINING
'6138860916353455',DEBIT,20250913,-78.95,[DS]HARDWARE STORE   HOME
'6138860916353455',DEBIT,20250914,-65.45,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',DEBIT,20250915,-160.17,[SO]PA    0000000022099032738
'6138860916353455',CREDIT,20250915,320.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251853234567891
'6138860916353455',DEBIT,20250916,-45.25,[DS]RESTAURANT NOP   DINING
'6138860916353455',DEBIT,20250917,-60.35,[DS]BOOKSTORE        BOOKS
'6138860916353455',DEBIT,20250918,-25.95,[DS]CINEMA           ENTERTAINMENT
'6138860916353455',DEBIT,20250919,-105.75,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250920,-38.25,[DS]SPECIALTY CAFE   DINING
'6138860916353455',DEBIT,20250921,-175.00,[CW]INTERAC PAYMENT         ENTERTAINMENT           202518582345TS6TD
'6138860916353455',DEBIT,20250922,-68.45,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250923,-85.95,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250924,-36.75,[DS]RESTAURANT QRS   DINING
'6138860916353455',CREDIT,20250925,95.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251860789123456
'6138860916353455',DEBIT,20250926,-32.95,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250927,-125.75,[DS]CLOTHING STORE   APPAREL
'6138860916353455',DEBIT,20250928,-42.35,[DS]RESTAURANT TUV   DINING
'6138860916353455',DEBIT,20250929,-72.45,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',DEBIT,20250930,-32.15,[DS]CAFE             DINING
'6138860916353455',CREDIT,20250930,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251863456789123
