Les données suivantes sont valables à compter du 20250930164520 (année/mois/jour/heure/minute/seconde)


Maxi-Carte,Type de transaction,Date d'inscription,Montant de la transaction,Description


'6138860916353455',CREDIT,20250901,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251844567891234
'6138860916353455',DEBIT,20250901,-1200.00,[CW]VIR INTERAC ENVOYE       LOGEMENT                202518442345678TJ
'6138860916353455',DEBIT,20250902,-115.75,[DS]SUPER MARKET    ALIMENTATION
'6138860916353455',DEBIT,20250903,-38.25,[DS]RESTAURANT HIJ   RESTAURATION
'6138860916353455',DEBIT,20250903,-89.99,[DS]MOBILE PROVIDER SERVICE MOBILE
'6138860916353455',DEBIT,20250904,-42.15,[DS]PHARMACIE        SANTÉ
'6138860916353455',DEBIT,20250905,-78.35,[DS]VÊTEMENTS        MAGASIN
'6138860916353455',DEBIT,20250906,-74.25,[DS]STATIONS SERVICE ESSENCE
'6138860916353455',DEBIT,20250907,-22.50,[CW]NETFLIX          ABONNEMENT
'6138860916353455',DEBIT,20250907,-18.99,[DS]ABONNEMENT MUSIQUE DIVERTISSEMENT
'6138860916353455',CREDIT,20250908,145.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251847891234567
'6138860916353455',DEBIT,20250909,-92.45,[DS]ÉPICERIE         ALIMENTATION
'6138860916353455',DEBIT,20250910,-52.35,[DS]RESTAURANT KLM   RESTAURATION
'6138860916353455',DEBIT,20250911,-130.00,[CW]VIR INTERAC ENVOYE       SERVICES TRANSPORT      202518502345TS6TH
'6138860916353455',DEBIT,20250912,-32.75,[DS]CAFÉ MATIN       RESTAURATION
'6138860916353455',DEBIT,20250913,-78.95,[DS]QUINCAILLERIE    MAISON
'6138860916353455',DEBIT,20250914,-65.45,[DS]ÉPICERIE LOCALE  ALIMENTATION
'6138860916353455',DEBIT,20250915,-160.17,[SO]PA    0000000022099032738
'6138860916353455',CREDIT,20250915,320.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251853234567891
'6138860916353455',DEBIT,20250916,-45.25,[DS]RESTAURANT NOP   RESTAURATION
'6138860916353455',DEBIT,20250917,-60.35,[DS]LIBRAIRIE        LIVRES
'6138860916353455',DEBIT,20250918,-25.95,[DS]CINÉMA           DIVERTISSEMENT
'6138860916353455',DEBIT,20250919,-105.75,[DS]SUPER MARKET    ALIMENTATION
'6138860916353455',DEBIT,20250920,-38.25,[DS]CAFÉ SPÉCIAL     RESTAURATION
'6138860916353455',DEBIT,20250921,-175.00,[CW]VIR INTERAC ENVOYE       DIVERTISSEMENT          202518582345TS6TD
'6138860916353455',DEBIT,20250922,-68.45,[DS]STATIONS SERVICE ESSENCE
'6138860916353455',DEBIT,20250923,-85.95,[DS]ÉPICERIE         ALIMENTATION
'6138860916353455',DEBIT,20250924,-36.75,[DS]RESTAURANT QRS   RESTAURATION
'6138860916353455',CREDIT,20250925,95.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251860789123456
'6138860916353455',DEBIT,20250926,-32.95,[DS]PHARMACY         SANTÉ
'6138860916353455',DEBIT,20250927,-125.75,[DS]VÊTEMENTS        MAGASIN
'6138860916353455',DEBIT,20250928,-42.35,[DS]RESTAURANT TUV   RESTAURATION
'6138860916353455',DEBIT,20250929,-72.45,[DS]ÉPICERIE LOCALE  ALIMENTATION
'6138860916353455',DEBIT,20250930,-32.15,[DS]CAFÉ             RESTAURATION
'6138860916353455',CREDIT,20250930,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251863456789123
