Les données suivantes sont valables à compter du 20250731182345 (année/mois/jour/heure/minute/seconde)


Maxi-Carte,Type de transaction,Date d'inscription,Montant de la transaction,Description


'5007660722517359',CREDIT,20250701,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251624567834512
'5007660722517359',DEBIT,20250701,-1200.00,[CW]VIR INTERAC ENVOYE       LOGEMENT                202516250012345TJ
'5007660722517359',DEBIT,20250702,-120.78,[DS]SUPER MARKET    ALIMENTATION
'5007660722517359',DEBIT,20250703,-38.95,[DS]RESTAURANT DEF   RESTAURATION
'5007660722517359',DEBIT,20250704,-89.99,[DS]MOBILE PROVIDER SERVICE MOBILE
'5007660722517359',DEBIT,20250705,-62.45,[DS]ÉLECTRONIQUE     TECHNOLOGIE
'5007660722517359',DEBIT,20250706,-75.32,[DS]STATIONS SERVICE ESSENCE
'5007660722517359',DEBIT,20250707,-22.50,[CW]NETFLIX          ABONNEMENT
'5007660722517359',DEBIT,20250708,-18.99,[DS]ABONNEMENT MUSIQUE DIVERTISSEMENT
'5007660722517359',CREDIT,20250708,175.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251628734562187
'5007660722517359',DEBIT,20250709,-45.25,[DS]RESTAURANT XYZ   RESTAURATION
'5007660722517359',DEBIT,20250710,-85.35,[DS]ÉPICERIE         ALIMENTATION
'5007660722517359',DEBIT,20250711,-32.95,[DS]PHARMACY         SANTÉ
'5007660722517359',DEBIT,20250712,-65.00,[CW]VIR INTERAC ENVOYE       SERVICES LOISIRS        202516312345TS6TK
'5007660722517359',DEBIT,20250713,-128.45,[DS]GRAND MAGASIN   VÊTEMENTS
'5007660722517359',DEBIT,20250714,-42.50,[DS]RESTAURANT GHI   RESTAURATION
'5007660722517359',DEBIT,20250715,-160.17,[SO]PA    0000000022099032738
'5007660722517359',DEBIT,20250715,-125.99,[DS]QUINCAILLERIE    MAISON
'5007660722517359',CREDIT,20250716,280.00,[CW]VIR INTERAC RECU         VENTE ARTICLES          20251632456234512
'5007660722517359',DEBIT,20250717,-95.45,[DS]SUPER MARKET    ALIMENTATION
'5007660722517359',DEBIT,20250718,-28.95,[DS]CAFÉ MATIN       RESTAURATION
'5007660722517359',DEBIT,20250719,-55.45,[DS]LIBRAIRIE        LIVRES
'5007660722517359',DEBIT,20250720,-79.99,[DS]STREAMING ANNUEL DIVERTISSEMENT
'5007660722517359',DEBIT,20250721,-35.25,[DS]RESTAURANT JKL   RESTAURATION
'5007660722517359',DEBIT,20250722,-82.35,[DS]ÉPICERIE         ALIMENTATION
'5007660722517359',DEBIT,20250723,-65.75,[DS]STATIONS SERVICE ESSENCE
'5007660722517359',DEBIT,20250724,-145.00,[CW]VIR INTERAC ENVOYE       SERVICES SANTÉ          202516362345TS6TR
'5007660722517359',DEBIT,20250725,-37.99,[DS]PHARMACIE        SANTÉ
'5007660722517359',DEBIT,20250726,-115.65,[DS]ÉPICERIE LOCALE  ALIMENTATION
'5007660722517359',DEBIT,20250727,-42.35,[DS]RESTAURANT MNO   RESTAURATION
'5007660722517359',CREDIT,20250728,150.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251638945723451
'5007660722517359',DEBIT,20250729,-74.25,[DS]MAGASIN SPORT    LOISIRS
'5007660722517359',DEBIT,20250730,-28.95,[DS]CAFÉ             RESTAURATION
'5007660722517359',DEBIT,20250731,-68.50,[DS]SUPER MARKET    ALIMENTATION
'5007660722517359',CREDIT,20250731,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251640234512678
