The following data is valid as of 20250131195530 (year/month/day/hour/minute/second)

Item no,Card no,Transaction date,Posting date,Transaction amount,Description

001,9376319852973073,20250102,20250103,75.45,RESTAURANT THE BISTRO
002,9376319852973073,20250103,20250105,125.99,CLOTHING STORE XYZ
003,9376319852973073,20250105,20250107,45.25,PHARMACY HEALTH PLUS
004,9376319852973073,20250107,20250108,32.50,CENTRAL BOOKSTORE
005,9376319852973073,20250108,20250110,89.99,FRESH MARKET GROCERY
006,9376319852973073,20250110,20250112,120.75,HOME DESIGN FURNITURE
007,9376319852973073,20250112,20250113,67.35,TOTAL GAS STATION
008,9376319852973073,20250113,20250114,-500.00,CREDIT CARD PAYMENT
009,9376319852973073,20250114,20250115,42.15,PARIS MORNING CAFE
010,9376319852973073,20250115,20250117,145.00,TECH PLUS ELECTRONICS
011,9376319852973073,20250117,20250118,55.25,ROMA ITALIAN RESTAURANT
012,9376319852973073,20250118,20250120,28.99,CINEMA LUMIERE
013,9376319852973073,20250120,20250122,95.45,PRO TOOLS HARDWARE STORE
014,9376319852973073,20250122,20250123,33.75,GOLDEN CROISSANT BAKERY
015,9376319852973073,20250123,20250125,79.95,ACTIVE SPORT CLOTHING
016,9376319852973073,20250125,20250126,22.50,EXPRESS BISTRO CAFE
017,9376319852973073,20250126,20250127,62.80,TOKYO SUSHI RESTAURANT
018,9376319852973073,20250127,20250128,-350.00,BANK TRANSFER - REIMBURSEMENT
019,9376319852973073,20250127,20250129,115.30,MEDIA ELECTRONICS STORE
020,9376319852973073,20250129,20250130,42.65,HEALTH PLUS PHARMACY
021,9376319852973073,20250130,20250131,88.15,FRESH MARKET GROCERY
022,9376319852973073,20250131,20250131,135.25,HOME DESIGN FURNITURE
023,9376319852973073,20250131,20250131,-75.25,REFUND - RETURNED ITEM
