Les données suivantes sont valables à compter du 20250430175630 (année/mois/jour/heure/minute/seconde)

Article no,Carte no,Date de la transaction,Date de l'inscription au relevé,Montant de la transaction,Description

001,9376319852973073,20250401,20250403,79.95,RESTAURANT LE TERROIR
002,9376319852973073,20250402,20250404,128.50,MAGASIN COLLECTION URBAINE
003,9376319852973073,20250403,20250404,-700.00,PAIEMENT CARTE DE CRÉDIT
004,9376319852973073,20250404,20250405,48.75,PHARMACIE SANTÉ EXPRESS
005,9376319852973073,20250405,20250407,39.25,LIBRAIRIE CULTURE MODERNE
006,9376319852973073,20250407,20250408,92.45,ÉPICERIE SÉLECTION PREMIUM
007,9376319852973073,20250408,20250410,185.25,MEUBLES DESIGN ACTUEL
008,9376319852973073,20250410,20250411,74.95,STATION ESSENCE RAPIDE
009,9376319852973073,20250411,20250413,36.45,CAFÉ AMBIANCE COSY
010,9376319852973073,20250413,20250414,195.75,ÉLECTRONIQUE DERNIÈRE GÉNÉRATION
011,9376319852973073,20250414,20250416,62.35,RESTAURANT SAVEURS D'ASIE
012,9376319852973073,20250415,20250416,-98.50,REMBOURSEMENT - RETOUR ARTICLE
013,9376319852973073,20250416,20250417,34.50,CINÉMA 3D EXPÉRIENCE
014,9376319852973073,20250417,20250419,128.95,QUINCAILLERIE PROJET MAISON
015,9376319852973073,20250419,20250420,31.25,PÂTISSERIE FINE TRADITION
016,9376319852973073,20250420,20250422,98.50,VÊTEMENTS STYLE CONTEMPORARY
017,9376319852973073,20250422,20250423,27.75,CAFÉ RÉVEIL DOUCEUR
018,9376319852973073,20250423,20250425,82.45,RESTAURANT FUSION CRÉATIVE
019,9376319852973073,20250425,20250426,159.95,MAGASIN HIGH-TECH INNOVATION
020,9376319852973073,20250426,20250427,44.35,PHARMACIE CONSEIL SANTÉ
021,9376319852973073,20250427,20250428,-450.00,VIREMENT BANCAIRE - PAIEMENT MENSUEL
022,9376319852973073,20250428,20250429,89.75,ÉPICERIE MARCHÉ SPÉCIALITÉS
023,9376319852973073,20250430,20250430,192.50,MEUBLES AMBIANCE CRÉATIVE
