Les données suivantes sont valables à compter du 20250228182345 (année/mois/jour/heure/minute/seconde)

Article no,Carte no,Date de la transaction,Date de l'inscription au relevé,Montant de la transaction,Description

001,9376319852973073,20250201,20250203,68.75,RESTAURANT LA BRASSERIE
002,9376319852973073,20250202,20250204,112.50,MAGASIN MODE ÉLÉGANCE
003,9376319852973073,20250204,20250205,38.95,PHARMACIE DU CENTRE
004,9376319852973073,20250205,20250207,28.45,LIBRAIRIE PAGE TOURNÉE
005,9376319852973073,20250206,20250207,-600.00,PAIEMENT CARTE DE CRÉDIT
006,9376319852973073,20250207,20250208,94.35,ÉPICERIE BIO NATURE
007,9376319852973073,20250208,20250210,145.99,MEUBLES CONTEMPORAINS
008,9376319852973073,20250210,20250211,72.25,STATION SERVICE ÉTOILE
009,9376319852973073,20250211,20250213,39.50,CAFÉ MATINAL EXPRESS
010,9376319852973073,20250213,20250214,189.99,ÉLECTRONIQUE NUMÉRIQUE
010,9376319852973073,20250214,20250216,65.45,RESTAURANT MÉDITERRANÉEN
011,9376319852973073,20250216,20250217,32.75,CINÉMA GRAND ÉCRAN
012,9376319852973073,20250217,20250219,105.25,QUINCAILLERIE BRICOLAGE
013,9376319852973073,20250219,20250220,28.95,PÂTISSERIE GOURMANDISE
014,9376319852973073,20250220,20250222,85.50,VÊTEMENTS HIVER COLLECTION
015,9376319852973073,20250221,20250222,-125.75,REMBOURSEMENT - ACHAT RETOURNÉ
016,9376319852973073,20250222,20250223,24.75,CAFÉ DOUCEUR MATINALE
017,9376319852973073,20250223,20250225,72.15,RESTAURANT ASIATIQUE FUSION
018,9376319852973073,20250225,20250226,132.99,MAGASIN TECHNOLOGIE FUTURE
019,9376319852973073,20250226,20250227,36.45,PHARMACIE SANTÉ EXPRESS
020,9376319852973073,20250227,20250228,92.25,ÉPICERIE MARCHÉ GOURMET
021,9376319852973073,20250228,20250228,-400.00,VIREMENT BANCAIRE - REMBOURSEMENT
022,9376319852973073,20250228,20250228,155.75,MEUBLES DESIGN INTÉRIEUR
