The following data is valid as of 20250831175630 (year/month/day/hour/minute/second)


Card,Transaction type,Posting date,Transaction amount,Description


'6138860916353455',CREDIT,20250801,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251735672345123
'6138860916353455',DEBIT,20250801,-1200.00,[CW]INTERAC PAYMENT         HOUSING                  202517352345123TJ
'6138860916353455',DEBIT,20250802,-95.45,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250803,-42.35,[DS]RESTAURANT PQR   DINING
'6138860916353455',DEBIT,20250803,-89.99,[DS]MOBILE PROVIDER MOBILE SERVICE
'6138860916353455',DEBIT,20250804,-32.15,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250805,-54.95,[DS]CLOTHING STORE   APPAREL
'6138860916353455',DEBIT,20250806,-65.32,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250807,-22.50,[CW]NETFLIX          SUBSCRIPTION
'6138860916353455',CREDIT,20250807,120.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251740678923451
'6138860916353455',DEBIT,20250808,-18.99,[DS]MUSIC SUBSCRIPTION ENTERTAINMENT
'6138860916353455',DEBIT,20250809,-85.65,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',DEBIT,20250810,-48.25,[DS]RESTAURANT STU   DINING
'6138860916353455',DEBIT,20250811,-110.45,[DS]HARDWARE STORE   HOME
'6138860916353455',DEBIT,20250812,-36.75,[DS]SPECIALTY CAFE   DINING
'6138860916353455',DEBIT,20250813,-225.00,[CW]INTERAC PAYMENT         TECHNICAL SERVICES      202517452345TS6TG
'6138860916353455',DEBIT,20250814,-72.95,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250815,-160.17,[SO]PA    0000000022099032738
'6138860916353455',CREDIT,20250816,185.00,[CW]INTERAC DEPOSIT         SALE                    20251747892345612
'6138860916353455',DEBIT,20250817,-39.25,[DS]RESTAURANT VWX   DINING
'6138860916353455',DEBIT,20250818,-65.85,[DS]BOOKSTORE        BOOKS
'6138860916353455',DEBIT,20250819,-28.95,[DS]CINEMA           ENTERTAINMENT
'6138860916353455',DEBIT,20250820,-79.45,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250821,-45.25,[DS]RESTAURANT YZA   DINING
'6138860916353455',DEBIT,20250822,-150.00,[CW]INTERAC PAYMENT         EDUCATIONAL SERVICES    202517512345TS6TF
'6138860916353455',DEBIT,20250823,-72.85,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250824,-32.95,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250825,-125.75,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250826,-55.95,[DS]RESTAURANT BCD   DINING
'6138860916353455',CREDIT,20250827,200.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251754789234567
'6138860916353455',DEBIT,20250828,-85.25,[DS]CLOTHING STORE   APPAREL
'6138860916353455',DEBIT,20250829,-42.15,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250830,-38.75,[DS]RESTAURANT EFG   DINING
'6138860916353455',DEBIT,20250831,-62.35,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',CREDIT,20250831,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251757345678912
