The following data is valid as of 20250731182345 (year/month/day/hour/minute/second)


Card,Transaction type,Posting date,Transaction amount,Description


'6138860916353455',CREDIT,20250701,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251624567834512
'6138860916353455',DEBIT,20250701,-1200.00,[CW]INTERAC PAYMENT         HOUSING                  202516250012345TJ
'6138860916353455',DEBIT,20250702,-120.78,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250703,-38.95,[DS]RESTAURANT DEF   DINING
'6138860916353455',DEBIT,20250704,-89.99,[DS]MOBILE PROVIDER MOBILE SERVICE
'6138860916353455',DEBIT,20250705,-62.45,[DS]ELECTRONICS      TECHNOLOGY
'6138860916353455',DEBIT,20250706,-75.32,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250707,-22.50,[CW]NETFLIX          SUBSCRIPTION
'6138860916353455',DEBIT,20250708,-18.99,[DS]MUSIC SUBSCRIPTION ENTERTAINMENT
'6138860916353455',CREDIT,20250708,175.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251628734562187
'6138860916353455',DEBIT,20250709,-45.25,[DS]RESTAURANT XYZ   DINING
'6138860916353455',DEBIT,20250710,-85.35,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250711,-32.95,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250712,-65.00,[CW]INTERAC PAYMENT         LEISURE SERVICES        202516312345TS6TK
'6138860916353455',DEBIT,20250713,-128.45,[DS]DEPARTMENT STORE CLOTHING
'6138860916353455',DEBIT,20250714,-42.50,[DS]RESTAURANT GHI   DINING
'6138860916353455',DEBIT,20250715,-160.17,[SO]PA    0000000022099032738
'6138860916353455',DEBIT,20250715,-125.99,[DS]HARDWARE STORE   HOME
'6138860916353455',CREDIT,20250716,280.00,[CW]INTERAC DEPOSIT         SALE                    20251632456234512
'6138860916353455',DEBIT,20250717,-95.45,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250718,-28.95,[DS]MORNING CAFE     DINING
'6138860916353455',DEBIT,20250719,-55.45,[DS]BOOKSTORE        BOOKS
'6138860916353455',DEBIT,20250720,-79.99,[DS]ANNUAL STREAMING ENTERTAINMENT
'6138860916353455',DEBIT,20250721,-35.25,[DS]RESTAURANT JKL   DINING
'6138860916353455',DEBIT,20250722,-82.35,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250723,-65.75,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250724,-145.00,[CW]INTERAC PAYMENT         HEALTH SERVICES        202516362345TS6TR
'6138860916353455',DEBIT,20250725,-37.99,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250726,-115.65,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',DEBIT,20250727,-42.35,[DS]RESTAURANT MNO   DINING
'6138860916353455',CREDIT,20250728,150.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251638945723451
'6138860916353455',DEBIT,20250729,-74.25,[DS]SPORTS STORE     LEISURE
'6138860916353455',DEBIT,20250730,-28.95,[DS]CAFE             DINING
'6138860916353455',DEBIT,20250731,-68.50,[DS]SUPER MARKET    GROCERIES
'6138860916353455',CREDIT,20250731,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251640234512678
