The following data is valid as of 20250630212145 (year/month/day/hour/minute/second)


Card,Transaction type,Posting date,Transaction amount,Description


'6138860916353455',DEBIT,20250601,-125.45,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250601,-42.35,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250602,-35.75,[CW]RESTAURANT ABC   DINING
'6138860916353455',CREDIT,20250603,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251525457837612
'6138860916353455',DEBIT,20250604,-1200.00,[CW]INTERAC PAYMENT         HOUSING                  202515250012567TJ
'6138860916353455',DEBIT,20250605,-89.99,[DS]MOBILE PROVIDER MOBILE SERVICE
'6138860916353455',DEBIT,20250605,-42.15,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250606,-67.34,[DS]SERVICE STATION  FUEL
'6138860916353455',DEBIT,20250607,-22.50,[CW]NETFLIX          SUBSCRIPTION
'6138860916353455',DEBIT,20250608,-45.75,[DS]RESTAURANT XYZ   DINING
'6138860916353455',DEBIT,20250609,-130.00,[CW]INTERAC PAYMENT         SERVICES                202515273595TS6TL
'6138860916353455',DEBIT,20250610,-56.78,[DS]STORE ABC        CLOTHING
'6138860916353455',CREDIT,20250610,150.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           202515310945321587
'6138860916353455',DEBIT,20250611,-18.45,[DS]MORNING CAFE     DINING
'6138860916353455',DEBIT,20250612,-85.25,[DS]HARDWARE STORE   HOME
'6138860916353455',DEBIT,20250613,-65.95,[DS]LOCAL GROCERY    GROCERIES
'6138860916353455',DEBIT,20250614,-32.17,[DS]PHARMACY         HEALTH
'6138860916353455',DEBIT,20250615,-160.17,[SO]PA    0000000022099032738
'6138860916353455',CREDIT,20250615,250.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251532125634589
'6138860916353455',DEBIT,20250616,-22.99,[DS]AMAZON           ONLINE SHOPPING
'6138860916353455',DEBIT,20250617,-44.50,[DS]RESTAURANT DEF   DINING
'6138860916353455',DEBIT,20250618,-76.25,[DS]ELECTRONICS      TECHNOLOGY
'6138860916353455',DEBIT,20250619,-18.99,[DS]MUSIC SUBSCRIPTION ENTERTAINMENT
'6138860916353455',DEBIT,20250620,-105.45,[DS]SUPER MARKET    GROCERIES
'6138860916353455',DEBIT,20250621,-95.30,[DS]CLOTHING STORE   APPAREL
'6138860916353455',DEBIT,20250622,-15.00,[CW]INTERAC PAYMENT         RESTAURANT              202515394567TS6TZ
'6138860916353455',CREDIT,20250623,75.00,[CW]INTERAC DEPOSIT         REIMBURSEMENT           20251540945867234
'6138860916353455',DEBIT,20250624,-32.45,[DS]BOOKSTORE        BOOKS
'6138860916353455',DEBIT,20250625,-68.29,[DS]GROCERY STORE    GROCERIES
'6138860916353455',DEBIT,20250626,-120.00,[CW]INTERAC PAYMENT         EDUCATIONAL SERVICES    202515452345TS6TN
'6138860916353455',DEBIT,20250627,-43.87,[DS]FUEL             TRANSPORTATION
'6138860916353455',DEBIT,20250628,-84.75,[DS]DIY STORE        HOME
'6138860916353455',DEBIT,20250629,-25.99,[DS]STREAMING        ENTERTAINMENT
'6138860916353455',DEBIT,20250630,-49.95,[DS]RESTAURANT       DINING
'6138860916353455',CREDIT,20250630,3200.00,[CW]INTERAC DEPOSIT         COMPANY INC.             20251545782198765
