Les données suivantes sont valables à compter du 20250831175630 (année/mois/jour/heure/minute/seconde)


Maxi-Carte,Type de transaction,Date d'inscription,Montant de la transaction,Description


'6138860916353455',CREDIT,20250801,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251735672345123
'6138860916353455',DEBIT,20250801,-1200.00,[CW]VIR INTERAC ENVOYE       LOGEMENT                202517352345123TJ
'6138860916353455',DEBIT,20250802,-95.45,[DS]SUPER MARKET    ALIMENTATION
'6138860916353455',DEBIT,20250803,-42.35,[DS]RESTAURANT PQR   RESTAURATION
'6138860916353455',DEBIT,20250803,-89.99,[DS]MOBILE PROVIDER SERVICE MOBILE
'6138860916353455',DEBIT,20250804,-32.15,[DS]PHARMACIE        SANTÉ
'6138860916353455',DEBIT,20250805,-54.95,[DS]VÊTEMENTS        MAGASIN
'6138860916353455',DEBIT,20250806,-65.32,[DS]STATIONS SERVICE ESSENCE
'6138860916353455',DEBIT,20250807,-22.50,[CW]NETFLIX          ABONNEMENT
'6138860916353455',CREDIT,20250807,120.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251740678923451
'6138860916353455',DEBIT,20250808,-18.99,[DS]ABONNEMENT MUSIQUE DIVERTISSEMENT
'6138860916353455',DEBIT,20250809,-85.65,[DS]ÉPICERIE LOCALE  ALIMENTATION
'6138860916353455',DEBIT,20250810,-48.25,[DS]RESTAURANT STU   RESTAURATION
'6138860916353455',DEBIT,20250811,-110.45,[DS]QUINCAILLERIE    MAISON
'6138860916353455',DEBIT,20250812,-36.75,[DS]CAFÉ SPÉCIAL     RESTAURATION
'6138860916353455',DEBIT,20250813,-225.00,[CW]VIR INTERAC ENVOYE       SERVICES TECHNIQUES     202517452345TS6TG
'6138860916353455',DEBIT,20250814,-72.95,[DS]SUPER MARKET    ALIMENTATION
'6138860916353455',DEBIT,20250815,-160.17,[SO]PA    0000000022099032738
'6138860916353455',CREDIT,20250816,185.00,[CW]VIR INTERAC RECU         VENTE                   20251747892345612
'6138860916353455',DEBIT,20250817,-39.25,[DS]RESTAURANT VWX   RESTAURATION
'6138860916353455',DEBIT,20250818,-65.85,[DS]LIBRAIRIE        LIVRES
'6138860916353455',DEBIT,20250819,-28.95,[DS]CINÉMA           DIVERTISSEMENT
'6138860916353455',DEBIT,20250820,-79.45,[DS]ÉPICERIE         ALIMENTATION
'6138860916353455',DEBIT,20250821,-45.25,[DS]RESTAURANT YZA   RESTAURATION
'6138860916353455',DEBIT,20250822,-150.00,[CW]VIR INTERAC ENVOYE       SERVICES ÉDUCATIFS      202517512345TS6TF
'6138860916353455',DEBIT,20250823,-72.85,[DS]STATIONS SERVICE ESSENCE
'6138860916353455',DEBIT,20250824,-32.95,[DS]PHARMACY         SANTÉ
'6138860916353455',DEBIT,20250825,-125.75,[DS]SUPER MARKET    ALIMENTATION
'6138860916353455',DEBIT,20250826,-55.95,[DS]RESTAURANT BCD   RESTAURATION
'6138860916353455',CREDIT,20250827,200.00,[CW]VIR INTERAC RECU         REMBOURSEMENT           20251754789234567
'6138860916353455',DEBIT,20250828,-85.25,[DS]VÊTEMENTS        MAGASIN
'6138860916353455',DEBIT,20250829,-42.15,[DS]ÉPICERIE         ALIMENTATION
'6138860916353455',DEBIT,20250830,-38.75,[DS]RESTAURANT EFG   RESTAURATION
'6138860916353455',DEBIT,20250831,-62.35,[DS]ÉPICERIE LOCALE  ALIMENTATION
'6138860916353455',CREDIT,20250831,3200.00,[CW]VIR INTERAC RECU         COMPANY INC.             20251757345678912
