The following data is valid as of 20250430175630 (year/month/day/hour/minute/second)

Item no,Card no,Transaction date,Posting date,Transaction amount,Description

001,9376319852973073,20250401,20250403,79.95,RESTAURANT THE TERROIR
002,9376319852973073,20250402,20250404,128.50,URBAN COLLECTION STORE
003,9376319852973073,20250403,20250404,-700.00,CREDIT CARD PAYMENT
004,9376319852973073,20250404,20250405,48.75,EXPRESS HEALTH PHARMACY
005,9376319852973073,20250405,20250407,39.25,MODERN CULTURE BOOKSTORE
006,9376319852973073,20250407,20250408,92.45,PREMIUM SELECTION GROCERY
007,9376319852973073,20250408,20250410,185.25,CURRENT DESIGN FURNITURE
008,9376319852973073,20250410,20250411,74.95,RAPID GAS STATION
009,9376319852973073,20250411,20250413,36.45,COZY AMBIANCE CAFE
010,9376319852973073,20250413,20250414,195.75,LATEST GENERATION ELECTRONICS
011,9376319852973073,20250414,20250416,62.35,ASIAN FLAVORS RESTAURANT
012,9376319852973073,20250415,20250416,-98.50,REFUND - ITEM RETURN
013,9376319852973073,20250416,20250417,34.50,3D EXPERIENCE CINEMA
014,9376319852973073,20250417,20250419,128.95,HOME PROJECT HARDWARE STORE
015,9376319852973073,20250419,20250420,31.25,FINE TRADITION PASTRY SHOP
016,9376319852973073,20250420,20250422,98.50,CONTEMPORARY STYLE CLOTHING
017,9376319852973073,20250422,20250423,27.75,GENTLE AWAKENING CAFE
018,9376319852973073,20250423,20250425,82.45,CREATIVE FUSION RESTAURANT
019,9376319852973073,20250425,20250426,159.95,HIGH-TECH INNOVATION STORE
020,9376319852973073,20250426,20250427,44.35,HEALTH ADVICE PHARMACY
021,9376319852973073,20250427,20250428,-450.00,BANK TRANSFER - MONTHLY PAYMENT
022,9376319852973073,20250428,20250429,89.75,SPECIALTY MARKET GROCERY
023,9376319852973073,20250430,20250430,192.50,CREATIVE AMBIANCE FURNITURE
