Les données suivantes sont valables à compter du 20250131195530 (année/mois/jour/heure/minute/seconde)

Article no,Carte no,Date de la transaction,Date de l'inscription au relevé,Montant de la transaction,Description

001,9376319852973073,20250102,20250103,75.45,RESTAURANT LE BISTRO
002,9376319852973073,20250103,20250105,125.99,MAGASIN VÊTEMENTS XYZ
003,9376319852973073,20250105,20250107,45.25,PHARMACIE SANTÉ PLUS
004,9376319852973073,20250107,20250108,32.50,LIBRAIRIE CENTRALE
005,9376319852973073,20250108,20250110,89.99,ÉPICERIE MARCHÉ FRAIS
006,9376319852973073,20250110,20250112,120.75,MEUBLES MAISON DESIGN
007,9376319852973073,20250112,20250113,67.35,STATION ESSENCE TOTAL
008,9376319852973073,20250113,20250114,-500.00,PAIEMENT CARTE DE CRÉDIT
009,9376319852973073,20250114,20250115,42.15,CAFÉ PARIS MATIN
010,9376319852973073,20250115,20250117,145.00,ÉLECTRONIQUE TECH PLUS
011,9376319852973073,20250117,20250118,55.25,RESTAURANT ITALIEN ROMA
012,9376319852973073,20250118,20250120,28.99,CINÉMA LUMIÈRE
013,9376319852973073,20250120,20250122,95.45,QUINCAILLERIE OUTILS PRO
014,9376319852973073,20250122,20250123,33.75,BOULANGERIE CROISSANT D'OR
015,9376319852973073,20250123,20250125,79.95,VÊTEMENTS SPORT ACTIF
016,9376319852973073,20250125,20250126,22.50,CAFÉ BISTRO EXPRESS
017,9376319852973073,20250126,20250127,62.80,RESTAURANT SUSHI TOKYO
018,9376319852973073,20250127,20250128,-350.00,VIREMENT BANCAIRE - REMBOURSEMENT
019,9376319852973073,20250127,20250129,115.30,MAGASIN ÉLECTRONIQUE MÉDIA
020,9376319852973073,20250129,20250130,42.65,PHARMACIE SANTÉ PLUS
021,9376319852973073,20250130,20250131,88.15,ÉPICERIE MARCHÉ FRAIS
022,9376319852973073,20250131,20250131,135.25,MEUBLES MAISON DESIGN
023,9376319852973073,20250131,20250131,-75.25,REMBOURSEMENT - RETOUR ARTICLE
